iter	Passed	Remaining
0	145	145380
1	149	74397
2	152	50728
3	156	38856
4	158	31640
5	162	26846
6	166	23593
7	169	21040
8	172	19007
9	175	17377
10	177	15966
11	180	14832
12	182	13838
13	184	12963
14	185	12181
15	186	11497
16	188	10892
17	189	10347
18	190	9850
19	191	9404
20	193	9010
21	194	8662
22	195	8321
23	196	8004
24	197	7715
25	198	7446
26	199	7198
27	200	6969
28	201	6753
29	202	6549
30	203	6357
31	204	6178
32	205	6010
33	205	5852
34	206	5702
35	207	5565
36	208	5436
37	209	5307
38	210	5190
39	211	5074
40	212	4974
41	213	4870
42	214	4768
43	214	4669
44	215	4575
45	216	4486
46	216	4399
47	217	4316
48	218	4237
49	218	4160
50	219	4087
51	220	4016
52	220	3947
53	221	3881
54	222	3820
55	223	3763
56	224	3706
57	224	3649
58	225	3594
59	226	3542
60	226	3490
61	227	3441
62	228	3393
63	228	3348
64	229	3304
65	230	3261
66	231	3218
67	231	3177
68	232	3138
69	233	3100
70	234	3063
71	234	3027
72	235	2992
73	236	2958
74	237	2925
75	238	2897
76	239	2868
77	240	2837
78	240	2807
79	241	2778
80	242	2749
81	243	2722
82	243	2691
83	244	2665
84	245	2640
85	246	2615
86	246	2591
87	247	2567
88	248	2544
89	249	2521
90	250	2499
91	251	2477
92	251	2456
93	252	2438
94	254	2419
95	254	2400
96	255	2380
97	256	2361
98	257	2342
99	258	2323
100	259	2305
101	259	2288
102	260	2271
103	261	2253
104	262	2237
105	263	2220
106	264	2204
107	265	2188
108	265	2173
109	266	2158
110	268	2146
111	269	2132
112	269	2117
113	270	2103
114	271	2088
115	272	2075
116	273	2060
117	273	2048
118	274	2034
119	275	2021
120	276	2009
121	277	1995
122	278	1982
123	278	1970
124	279	1958
125	280	1946
126	281	1935
127	283	1931
128	284	1923
129	285	1912
130	286	1901
131	287	1890
132	288	1879
133	289	1868
134	290	1858
135	290	1847
136	291	1837
137	292	1827
138	293	1817
139	294	1807
140	295	1798
141	295	1787
142	296	1778
143	297	1771
144	298	1762
145	299	1753
146	300	1744
147	301	1735
148	302	1727
149	303	1718
150	304	1710
151	305	1701
152	305	1693
153	306	1684
154	307	1676
155	308	1669
156	309	1661
157	310	1654
158	311	1647
159	312	1641
160	313	1633
161	314	1625
162	315	1618
163	316	1611
164	316	1604
165	317	1597
166	318	1590
167	319	1583
168	320	1576
169	321	1570
170	322	1563
171	323	1556
172	324	1551
173	325	1546
174	326	1541
175	328	1536
176	329	1531
177	330	1525
178	331	1518
179	332	1512
180	332	1506
181	333	1500
182	334	1494
183	335	1488
184	336	1482
185	337	1476
186	338	1470
187	339	1465
188	340	1459
189	341	1454
190	342	1449
191	343	1444
192	344	1439
193	345	1433
194	346	1428
195	347	1423
196	347	1418
197	348	1412
198	349	1407
199	350	1402
200	351	1397
201	352	1392
202	353	1387
203	354	1384
204	356	1380
205	357	1376
206	358	1372
207	359	1367
208	359	1362
209	360	1357
210	361	1352
211	362	1347
212	363	1343
213	364	1338
214	365	1333
215	366	1329
216	367	1325
217	368	1320
218	368	1315
219	369	1311
220	370	1306
221	372	1304
222	373	1300
223	374	1295
224	374	1291
225	375	1287
226	376	1282
227	377	1278
228	378	1274
229	379	1269
230	380	1265
231	381	1261
232	381	1257
233	382	1253
234	383	1248
235	384	1244
236	385	1240
237	386	1237
238	387	1234
239	388	1230
240	389	1226
241	390	1222
242	391	1218
243	392	1214
244	393	1211
245	393	1207
246	394	1203
247	395	1199
248	396	1196
249	397	1192
250	398	1188
251	399	1184
252	400	1181
